row, column, x rotation, y rotation
0,0,-60.000000,-60.000000
0,1,-60.000000,-58.000000
0,2,-60.000000,-56.000000
0,3,-60.000000,-54.000000
0,4,-60.000000,-52.000000
0,5,-60.000000,-50.000000
0,6,-60.000000,-48.000000
0,7,-60.000000,-46.000000
0,8,-60.000000,-44.000000
0,9,-60.000000,-42.000000
0,10,-60.000000,-40.000000
0,11,-60.000000,-38.000000
0,12,-60.000000,-36.000000
0,13,-60.000000,-34.000000
0,14,-60.000000,-32.000000
0,15,-60.000000,-30.000000
0,16,-60.000000,-28.000000
0,17,-60.000000,-26.000000
0,18,-60.000000,-24.000000
0,19,-60.000000,-22.000000
0,20,-60.000000,-20.000000
0,21,-60.000000,-18.000000
0,22,-60.000000,-16.000000
0,23,-60.000000,-14.000000
0,24,-60.000000,-12.000000
0,25,-60.000000,-10.000000
0,26,-60.000000,-8.000000
0,27,-60.000000,-6.000000
0,28,-60.000000,-4.000000
0,29,-60.000000,-2.000000
0,30,-60.000000,0.000000
0,31,-60.000000,2.000000
0,32,-60.000000,4.000000
0,33,-60.000000,6.000000
0,34,-60.000000,8.000000
0,35,-60.000000,10.000000
0,36,-60.000000,12.000000
0,37,-60.000000,14.000000
0,38,-60.000000,16.000000
0,39,-60.000000,18.000000
0,40,-60.000000,20.000000
0,41,-60.000000,22.000000
0,42,-60.000000,24.000000
0,43,-60.000000,26.000000
0,44,-60.000000,28.000000
0,45,-60.000000,30.000000
0,46,-60.000000,32.000000
0,47,-60.000000,34.000000
0,48,-60.000000,36.000000
0,49,-60.000000,38.000000
0,50,-60.000000,40.000000
0,51,-60.000000,42.000000
0,52,-60.000000,44.000000
0,53,-60.000000,46.000000
0,54,-60.000000,48.000000
0,55,-60.000000,50.000000
0,56,-60.000000,52.000000
0,57,-60.000000,54.000000
0,58,-60.000000,56.000000
0,59,-60.000000,58.000000
0,60,-60.000000,60.000000
1,0,-58.000000,-60.000000
1,1,-58.000000,-58.000000
1,2,-58.000000,-56.000000
1,3,-58.000000,-54.000000
1,4,-58.000000,-52.000000
1,5,-58.000000,-50.000000
1,6,-58.000000,-48.000000
1,7,-58.000000,-46.000000
1,8,-58.000000,-44.000000
1,9,-58.000000,-42.000000
1,10,-58.000000,-40.000000
1,11,-58.000000,-38.000000
1,12,-58.000000,-36.000000
1,13,-58.000000,-34.000000
1,14,-58.000000,-32.000000
1,15,-58.000000,-30.000000
1,16,-58.000000,-28.000000
1,17,-58.000000,-26.000000
1,18,-58.000000,-24.000000
1,19,-58.000000,-22.000000
1,20,-58.000000,-20.000000
1,21,-58.000000,-18.000000
1,22,-58.000000,-16.000000
1,23,-58.000000,-14.000000
1,24,-58.000000,-12.000000
1,25,-58.000000,-10.000000
1,26,-58.000000,-8.000000
1,27,-58.000000,-6.000000
1,28,-58.000000,-4.000000
1,29,-58.000000,-2.000000
1,30,-58.000000,0.000000
1,31,-58.000000,2.000000
1,32,-58.000000,4.000000
1,33,-58.000000,6.000000
1,34,-58.000000,8.000000
1,35,-58.000000,10.000000
1,36,-58.000000,12.000000
1,37,-58.000000,14.000000
1,38,-58.000000,16.000000
